Open,High,Low,Close,Volume
912.75,1006.93,912.75,1003.35,0
1009.97,1044.31,972.07,998.01,0
994.6,994.6,903.99,907.84,0
909.53,947.71,865.83,946.43,0
942.29,984.64,918.74,940.55,0
943.51,985.4,943.51,985.4,0
980.4,985.44,952.47,955.05,0
951.67,951.67,875.81,896.78,0
899.08,922.83,858.44,908.11,0
895.22,896.3,852.85,876.77,0
874.28,893.78,846.75,848.92,0
848.92,940.51,845.27,940.51,0
939.51,969.97,922.26,930.09,0
939.38,963.23,928.5,954.09,0
953.11,984.38,944.59,968.75,0
968.67,975.57,958.82,966.3,0
971.31,1007.51,971.31,1005.75,0
1001.84,1001.84,949.86,952.77,0
952.4,952.4,899.73,904.88,0
907.44,931.46,906.9,930.99,0
936.75,951.95,907.47,919.21,0
917.15,917.15,884.9,898.95,0
893.39,893.39,850.48,852.3,0
853.13,913.01,818.69,911.29,0
904.36,916.88,869.88,873.29,0
873.23,882.29,848.98,850.75,0
852.34,865.9,826.84,859.12,0
859.03,864.57,806.18,806.58,0
805.87,820.52,747.78,752.44,0
755.84,801.2,741.02,800.03,0
801.2,865.6,801.2,851.81,0
853.4,868.94,834.99,857.39,0
852.9,887.68,841.37,887.68,0
886.89,896.25,881.21,896.24,0
888.61,888.61,815.69,816.21,0
817.94,850.54,817.94,848.81,0
843.6,873.12,827.6,870.74,0
869.75,875.6,833.6,845.22,0
844.43,879.42,818.41,876.07,0
882.71,918.57,882.71,909.7,0
906.48,916.26,885.38,888.67,0
892.17,908.27,885.45,899.24,0
898.35,904.63,868.73,873.59,0
871.79,883.24,851.35,879.73,0
881.07,884.63,857.72,868.57,0
871.53,914.66,871.53,913.18,0
908.16,918.85,895.94,904.42,0
905.98,911.02,877.44,885.28,0
886.96,905.47,883.02,887.88,0
887.2,887.37,857.09,871.63,0
874.31,880.44,860.1,863.16,0
863.87,869.79,861.44,865.02,0
869.51,873.74,866.52,872.8,0
872.37,873.7,857.07,869.42,0
870.58,891.12,870.58,890.64,0
890.59,910.32,889.67,903.25,0
902.99,934.73,899.35,931.8,0
929.17,936.63,919.53,927.45,0
931.17,943.85,927.28,934.7,0
927.45,927.45,902.37,906.65,0
905.73,910.0,896.81,909.73,0
909.91,911.93,888.31,890.35,0
890.4,890.4,864.32,870.26,0
869.79,877.02,862.02,871.79,0
867.28,867.28,836.93,842.62,0
841.99,851.59,817.04,843.74,0
844.45,858.13,830.66,850.12,0
849.64,849.64,804.47,805.22,0
806.77,841.72,804.3,840.24,0
839.74,839.74,811.29,827.5,0
822.16,838.61,806.07,831.95,0
832.5,852.53,827.69,836.57,0
837.3,850.45,835.4,845.71,0
845.73,877.86,845.73,874.09,0
868.89,868.89,844.15,845.14,0
845.69,851.66,821.67,825.88,0
823.09,830.78,812.87,825.44,0
825.69,842.6,821.98,838.51,0
837.77,851.85,829.18,832.23,0
831.75,850.55,819.91,845.85,0
846.09,870.75,845.42,868.6,0
868.24,875.01,861.65,869.89,0
866.87,868.05,822.99,827.16,0
827.41,838.22,822.3,833.74,0
829.91,835.48,808.06,835.19,0
833.95,839.43,825.21,826.84,0
818.61,818.61,789.17,789.17,0
791.06,796.17,780.43,788.42,0
787.91,797.58,777.03,778.94,0
775.87,778.69,754.25,770.05,0
773.25,777.85,742.37,743.33,0
744.69,775.49,744.69,773.14,0
770.64,780.12,752.89,764.9,0
765.76,779.42,751.75,752.83,0
749.93,751.27,734.52,735.09,0
729.57,729.57,699.7,700.82,0
704.44,711.67,692.3,696.33,0
698.6,724.12,698.6,712.87,0
708.27,708.27,677.93,682.55,0
684.04,699.09,666.79,683.38,0
680.76,695.27,672.88,676.53,0
679.28,719.6,679.28,719.6,0
719.59,731.92,713.85,721.36,0
720.89,752.63,714.76,750.74,0
751.97,758.29,742.46,756.55,0
